	brewery_type	city	country	id	latitude	longitude	name	phone	postal_code	state	street	tag_list	updated_at	website_url	Unnamed: 0	name_on_yelp	yelp_business_id	yelp_rating	yelp_review_count	yelp_closed_status
22	large	San Diego	United States	338	32.889641	-117.157081	Ballast Point Brewing Company	8586952739	92121-2405	California	7606 Trade St	[]	2018-08-23 23:24:50.216		312	Ballast Point Miramar	1Zx3bCuu7e8Wg2qxCKW6nA	4.0	1808	False
23	large	San Diego	United States	338	32.889641	-117.157081	Ballast Point Brewing Company	8586952739	92121-2405	California	7606 Trade St	[]	2018-08-23 23:24:50.216		313	Ballast Point Miramar	1Zx3bCuu7e8Wg2qxCKW6nA	4.0	1808	False
24	micro	Anaheim	United States	405	33.8495705	-117.859722637846	Bottle Logic Brewing	714660	92806-2605	California	1072 N Armando St	[]	2018-08-23 23:25:50.123	http://www.bottlelogic.com	9	Bottle Logic Brewing	WpYDDE4SsGiRO73zppX_Jg	4.5	695	False
25	planning	Anaheim	United States	438	33.8347516	-117.911732	Brewheim Brewing Company		92806	California		[]	2018-08-23 23:26:10.410	http://www.brewheim.com	10	Brewheim Beer Makers	pdNwlJA8fFwnWXpbEXXflA	5.0	85	False
26	micro	Anaheim	United States	447	33.8579369161764	-117.841875871588	Bruery Terreux	7149966258	92806-2129	California	1174 N Grove St	[]	2018-08-23 23:26:17.982	http://www.thebruery.com	11	Bruery Terreux Tasting Room	eMXcWzT-e2H_vvq3FO0FpQ	4.5	228	False
27	micro	Anaheim	United States	774	33.8162808526878	-117.898062087944	Legends Craft Brewery	8883270202	92805-6431	California	1301 S Lewis St	[]	2018-08-23 23:58:56.443	http://www.legendsbeer.com	12	Legends Craft Brewery	U7krsboRcZu8hut7REpuNQ	4.5	176	False
28	brewpub	Anaheim	United States	723	33.8056683	-117.8770639	JT Schmids Restaurant & Brewery	7146349200	92806-5903	California	2610 E Katella Ave	[]	2018-08-23 23:58:11.267	http://www.jtschmids.com	13	JT Schmid's Restaurant & Brewery - Anaheim	8ZL-Qw9GPb2_VXdqGTBLsg	3.0	667	False
29	brewpub	Anaheim	United States	907	33.8540325	-117.8667466	Phantom Ales	7146309463	92806-1823	California	1211 N Las Brisas St	[]	2018-08-24 00:00:51.208	http://www.phantomales.com	14	Phantom Ales	N7Cos0Y2w_i1tzDma66fNQ	4.5	450	False
30	micro	Arcadia	United States	839	34.1433223061224	-118.026825367347	Mt Lowe Brewing Company	6262447593	91006-2851	California	150 E Saint Joseph St	[]	2018-08-23 23:59:53.168	http://www.mtlowebrewing.com	15	Mt. Lowe Brewing Co.	DiGbBWKcXglZrlq1qSkA1A	4.5	360	False
31	brewpub	Arroyo Grande	United States	596	35.12102175	-120.60595819353	Figueroa Mountain Brewing - Arroyo Grande	8058869275	93420-2448	California	1462 E Grand Ave	[]	2018-08-23 23:28:22.642	http://www.figmtnbrew.com	16	Figueroa Mountain Brewing	4acuw-KjV3BarP7vksbBJg	4.0	340	False
32	micro	Atascadero	United States	515	35.4897884	-120.6687359	Dead Oak Brewing Company	6023327027	93422-4223	California	5925 Entrada Ave	[]	2018-08-23 23:27:13.207	http://www.facebook.com/deadoakbrewing	17	Dead Oak Brewing Company	S9d2hrwKNxcvsiecQdeTJA	5.0	33	False
33	micro	Atascadero	United States	1095	35.487726	-120.66767	Tent City Beer Company	8054606454	93422-4205	California	6760 El Camino Real	[]	2018-08-24 00:03:46.054	http://www.tentcitybeer.com	18	Tent City Beer Company	lIGTmEbKeSVx2nNiGsUzVA	4.5	75	False
34	brewpub	Auburn	United States	329	38.8961210674875	-121.078958250811	Auburn Alehouse	5308852537	95603-5036	California	289 Washington St	[]	2018-08-23 23:24:41.928	http://www.auburnalehouse.com	19	Auburn Alehouse	b2w-zSoTWIzhUvhNj89cEg	4.0	1049	False
35	brewpub	Auburn	United States	1081	38.8995673848688	-121.06949555199	Tap and Vine	5308898463	95603	California	907 Lincoln Way	[]	2018-08-24 00:03:34.148	http://www.tapandvineauburn.com	20	Tap & Vine	zQt0rseCf2fZWgLMuNpY1g	4.0	262	False
36	micro	Auburn	United States	510	38.9086988790416	-121.076938366006	Crooked Lane Brewing Co	5306137434	95603-3807	California	536 Grass Valley Hwy	[]	2018-08-23 23:27:09.162	http://www.crookedlanebrewing.com	21	Crooked Lane Brewing	SPmGIRCuw2y31ODwCS4_3A	4.5	130	False
37	micro	Avalon	United States	464	33.3434987	-118.3256345	Catalina Island Brew House	3105906905	90704	California	417 Crescent Ave	[]	2018-08-23 23:26:31.335	http://www.catalinaislandbrewhouse.com	22	Catalina Island Brew House	20Q6hLAaPhngZWa3UzLqXg	4.5	260	False
38	planning	Bakersfield	United States	639	35.3738712	-119.0194639	Great Change Brewing	6195170736	93313	California		[]	2018-08-23 23:28:58.438	http://www.greatchangebrewing.com	23	Great Change Brewing	C_XfFaOLTWoRYvFJcRmVWw	4.5	26	False
39	brewpub	Bakersfield	United States	775	35.3132345617977	-119.088547235955	Lengthwise Brewing Co	6618362537	93313-4861	California	7700 District Blvd	[]	2018-08-23 23:58:57.355	http://www.lengthwise.com	24	Lengthwise Brewing Company	u0aKPCEFmumpsNHvM1wq2w	4.5	357	False
40	brewpub	Bakersfield	United States	1091	35.3885985	-119.043071	Temblor Brewing Company	6614894855	93308-6376	California	3200 Buck Owens Blvd Ste 200	[]	2018-08-24 00:03:42.745	http://www.temblorbrewing.com	25	Temblor Brewing Company	d4PcjEa7FPaNXZ-2a81eVA	4.0	516	False
41	micro	Banning	United States	409	33.9256848888889	-116.876825	Brew Rebellion	9519074844	92220-6001	California	33 S San Gorgonio Ave	[]	2018-08-23 23:25:53.919		26	Brew Rebellion	k0AXjx8f9G36gfrzdWA72g	4.0	20	False
42	micro	San Bernardino	United States	408	None	None	Brew Rebellion	9519074844	92408	California	195 N Del Rosa Dr	[]	2018-08-11 21:35:57.356	http://www.brewrebellion.com	26	Brew Rebellion	k0AXjx8f9G36gfrzdWA72g	4.0	20	False
43	micro	Campbell	United States	457	37.2870748	-121.9332743	Campbell Brewing Co	4088662699	95008-2010	California	200 E Campbell Ave	[]	2018-08-23 23:26:26.346		27	Campbell Brewing Company	EJBJse0L7LchMCWs5IzzOA	2.5	400	False
44	micro	Campbell	United States	457	37.2870748	-121.9332743	Campbell Brewing Co	4088662699	95008-2010	California	200 E Campbell Ave	[]	2018-08-23 23:26:26.346		54	Campbell Brewing Company	EJBJse0L7LchMCWs5IzzOA	2.5	400	False
45	micro	Campbell	United States	457	37.2870748	-121.9332743	Campbell Brewing Co	4088662699	95008-2010	California	200 E Campbell Ave	[]	2018-08-23 23:26:26.346		27	Campbell Brewing Company	EJBJse0L7LchMCWs5IzzOA	2.5	400	False
46	micro	Campbell	United States	457	37.2870748	-121.9332743	Campbell Brewing Co	4088662699	95008-2010	California	200 E Campbell Ave	[]	2018-08-23 23:26:26.346		54	Campbell Brewing Company	EJBJse0L7LchMCWs5IzzOA	2.5	400	False
47	micro	Montebello	United States	317	34.0084152	-118.1003743	Angry Horse Brewing	3235300015	90640-5235	California	603 W Whittier Blvd	[]	2018-08-23 23:24:28.112	http://angryhorsebrewing.com	28	Angry Horse Brewing	tv-oz1monzw_a--YfXGtVg	4.0	102	False
48	micro	Montebello	United States	317	34.0084152	-118.1003743	Angry Horse Brewing	3235300015	90640-5235	California	603 W Whittier Blvd	[]	2018-08-23 23:24:28.112	http://angryhorsebrewing.com	188	Angry Horse Brewing	tv-oz1monzw_a--YfXGtVg	4.0	102	False
49	micro	Montebello	United States	317	34.0084152	-118.1003743	Angry Horse Brewing	3235300015	90640-5235	California	603 W Whittier Blvd	[]	2018-08-23 23:24:28.112	http://angryhorsebrewing.com	28	Angry Horse Brewing	tv-oz1monzw_a--YfXGtVg	4.0	102	False
50	micro	Montebello	United States	317	34.0084152	-118.1003743	Angry Horse Brewing	3235300015	90640-5235	California	603 W Whittier Blvd	[]	2018-08-23 23:24:28.112	http://angryhorsebrewing.com	188	Angry Horse Brewing	tv-oz1monzw_a--YfXGtVg	4.0	102	False
51	regional	Berkeley	United States	592	37.88157297059	-122.302214696327	Fieldwork Brewing Co	5108981203	94710-1247	California	1160 6th St	[]	2018-08-23 23:28:19.100	http://www.fieldworkbrewing.com	29	Fieldwork Brewing Co.	u21XuN3yPxlGStGQWTbWWg	4.5	510	False
52	micro	Berkeley	United States	1106	37.8576209	-122.2914445	The Rare Barrel	5109846585	94710	California	940 Parker St	[]	2018-08-24 00:03:55.603	http://www.therarebarrel.com	30	The Rare Barrel	RvYP2O--XYyGi-CRLnbX2A	4.5	308	False
53	micro	Berkeley	United States	625	37.879466	-122.2998747	Gilman Brewing Company		94710-1424	California	912 Gilman St	[]	2018-08-23 23:28:46.953	http://www.gilmanbrew.com	31	Gilman Brewing Company	QfSxJmnK53SbYORfGM_Ftw	4.5	127	False
54	micro	Berkeley	United States	675	37.8487711	-122.272181	Hoi Polloi Brewpub and Beat Lounge	5108587334	94703	California	1763 Alcatraz Ave	[]	2018-08-23 23:29:27.704		32	Hoi Polloi Brewing Taproom and Beat Lounge	xVIBJ9IzKj3W8mbG72ZYbw	4.5	176	False
55	brewpub	Berkeley	United States	727	37.8697889	-122.2676799	Jupiter	5108438277	94704-1308	California	2181 Shattuck Ave	[]	2018-08-23 23:58:14.942	http://www.jupiterbeer.com	33	Jupiter	KoZtPdlNO2jMJ7Zc7I9JVg	4.0	3043	False
56	brewpub	Berkeley	United States	1143	37.873419	-122.268746	Triple Rock Brewery and Alehouse	5108432739	94704-1022	California	1920 Shattuck Ave	[]	2018-08-24 00:04:27.698	http://www.triplerock.com	34	Elite Event: Triple Rock Brewery and Alehouse	WV0HQgq5Btd-eQgE3Vid_A	5.0	17	False
57	regional	Berkeley	United States	1146	37.8768652612762	-122.303026514994	Trumer Brewery	5105261160	94710-1323	California	1404 4th St	[]	2018-08-24 00:04:30.492	http://www.trumer-international.com	35	Trumer Pils Brauerei	bM20zSuKsaeUwGXoATnAhQ	4.5	44	False
58	brewpub	Big Bear Lake	United States	371	34.2425583	-116.9110287	Big Bear Lake Brewing Co	9098780283	92315	California	40827 Stone Rd	[]	2018-08-23 23:25:19.918	http://www.bblbc.com	36	Big Bear Lake Brewing Company	rY_oBeebUNK-JBDJw-NuLg	3.5	1390	False
59	brewpub	Big Bear Lake	United States	372	34.2387606160615	-116.923041952145	Big Bear Mountain Brewery	9098662337	92315	California	40260 Big Bear Blvd	[]	2018-08-23 23:25:21.026	http://www.mountainbrewery.com	37	Big Bear Mountain Brewery	wqM51omW5UQftAs9p8CyTg	3.0	475	False
60	micro	Bishop	United States	836	37.3606708	-118.3944494	Mountain Rambler Brewery	7602581348	93514-3415	California	186 S Main St	[]	2018-08-23 23:59:50.681	http://www.mountainramblerbrewery.com	38	Mountain Rambler Brewery	dOFtT5L2Rz5paWwRsfpoRw	4.5	327	False
61	micro	Blue Lake	United States	801	40.878682	-123.992063	Mad River Brewing Co	7076684151	95525	California	101 Taylor Way	[]	2018-08-23 23:59:19.684	http://www.madriverbrewing.com	39	Mad River Brewing Company	za5M32bLqiLSk83HW7_60g	4.0	152	False
62	brewpub	Brea	United States	1085	33.9171643	-117.9018387	TAPS Fish House and Brewery - Brea	7142570101	92821-4924	California	101 E Imperial Hwy	[]	2018-08-24 00:03:37.619	http://www.tapsbrea.com	40	TAPS Fish House & Brewery	PPKE4uwDZLDsx0Nvv0x-KQ	4.0	2255	False
63	brewpub	Brea	United States	380	33.9152037	-117.88632452245	BJs Restaurant & Brewery - Brea	7149902095	92821-5764	California	600 Brea Mall Dr	[]	2018-08-23 23:25:28.578	http://www.bjsrestaurants.com	41	BJ's Restaurant & Brewhouse	K-N0djv7lj-FR9aXtjSvWg	3.0	890	False
64	micro	Buellton	United States	602	34.624862704698	-120.188344744966	Firestone Walker Barrelworks	8056861557	93427-2511	California	620 McMurray Rd	[]	2018-08-23 23:28:27.692	http://www.firestonewalker.com	42	Firestone Walker Brewing- Buellton	6CvGrXTNIps_YOklbEmcJg	4.0	612	False
65	regional	Buellton	United States	595	34.61068975	-120.202222556244	Figueroa Mountain Brewing	8056942252	93427-9565	California	45 Industrial Way	[]	2018-08-23 23:28:21.779	http://www.figmtnbrew.com	43	Figueroa Mountain Brewing Company	sCYLA0avTDDj4AahUZu49g	4.5	298	False
66	brewpub	Burbank	United States	414	34.1572656	-118.3336262	Brewery At Simmzys Burbank	8189622500	91505-4537	California	3000 W Olive Ave	[]	2018-08-23 23:25:58.721	http://www.Simmzys.com	44	Simmzy's	3KMRHU1jo51ngImTqnIgag	4.0	576	False
67	brewpub	Burbank	United States	634	34.1804175878314	-118.308339665739	Gordon Biersch Brewery Restaurant - Burbank	8185695240	91502-1322	California	145 S San Fernando Blvd	[]	2018-08-23 23:28:54.249	http://www.gordonbiersch.com/restaurant	45	Brewyard Beer Company	PXVKLmIVtGjNu1Fz2z8zvw	4.5	145	False
68	micro	Burbank	United States	665	34.1816482	-118.3258554	Henson Brewing		91504	California		[]	2018-08-23 23:29:20.039	http://www.facebook.com/HensonBrewing/	46	Henson Brewing Company	TDlptL8RwTGZe3f3ebAcHA	4.0	39	True
69	micro	Burbank	United States	778	34.2060527272727	-118.346620636364	Lincoln Beer Company	8186874206	91504-2013	California	3083 N Lima St	[]	2018-08-23 23:59:00.811	http://www.lincolnbeercompany.com	47	Lincoln Beer Company	pSFFmjg7dVvyJlUtq2Jymg	4.5	200	False
70	micro	Burbank	United States	1164	34.17375015	-118.310368236032	Verdugo West Brewing Company	8188415040	91502-2132	California	156 W Verdugo Ave	[]	2018-08-24 00:04:46.177	http://www.verdugowestbrewing.com	48	Trustworthy Brewing	YjYiBu50eEffC3BhrC-KpA	4.0	82	False
71	brewpub	Burlingame	United States	1055	37.5799728	-122.346260663132	Steelhead Brewing Co - Burlingame Station	6503446050	94010-4114	California	333 California Dr	[]	2018-08-24 00:03:10.673	http://www.steelheadbrewery.com	49	Steelhead Brewing Company	A3BJyAlm4tYLLnYoUexvWA	3.0	754	False
72	brewpub	Calistoga	United States	721	38.578753	-122.579054	Johnny's Calistoga / Mud City Brews	7079425938	94515	California	1457 Lincoln Ave	[]	2018-08-23 23:58:09.378	http://www.johnnyscalistoga.com	50	Golden Haven Hot Springs Spa and Resort	5CQ2j6dPlFo1RZ1JKGvY0g	4.0	817	False
73	brewpub	Calistoga	United States	843	38.5769344444444	-122.579631222222	Napa Valley Brewing Co/ Calistoga Inn	7079424101	94515-1741	California	1250 Lincoln Ave	[]	2018-08-23 23:59:56.349	http://www.napabeer.com	51	Calistoga Wine Way Inn	CP2-NOckdoi6xy7LJExGHg	4.5	105	False
74	planning	Camarillo	United States	418	34.2163939	-119.0376024	Brewery in Planning - Camarillo, CA	8054077641	93012-9406	California		[]	2018-08-23 23:26:01.102		52	Institution Ale Company	KGQrhPKF_ktL6NLtc6TbCw	4.5	482	False
75	brewpub	Camarillo	United States	708	34.2164669058823	-119.020337176471	Institution Ale Company	8054823777	93012-5036	California	3841 Mission Oaks Blvd	[]	2018-08-23 23:29:56.054	http://www.institutionales.com	53	Institution Ale Company	KGQrhPKF_ktL6NLtc6TbCw	4.5	482	False
76	micro	Capitola	United States	990	36.9822865	-121.9405748	Sante Adairius Rustic Ales	8313454867	95010-3641	California	103 Kennedy Dr	[]	2018-08-24 00:02:11.049	http://www.rusticales.com	55	Sante Adairius Rustic Ales	ouWOFXOKxJT_xCaE0pTLsw	4.5	166	False
77	micro	Carlsbad	United States	964	33.133904	-117.269558	Rouleur Brewing Company	4422445111	92008-8804	California	5840 El Camino Real Ste 101	[]	2018-08-24 00:01:45.520	http://www.rouleurbrewing.com	56	Rouleur Brewing Company	uRmQ0RCd2waz6IEd3oZ7LA	4.5	74	False
78	brewpub	Carlsbad	United States	733	33.124447	-117.314236	Karl Strauss Brewing Co - Carlsbad	7604312739	92008-4609	California	5801 Armada Dr	[]	2018-08-23 23:58:19.763	http://www.karlstrauss.com	57	Karl Strauss Brewing Company	d06Yq7qVry8wDjNPj6GpGg	4.0	1347	False
79	planning	Carlsbad	United States	898	33.1580933	-117.3505966	Papa Marce's Cerveceria	8584146976	92008	California		[]	2018-08-24 00:00:43.769	http://www.papamarces.com	58	Papa Marce's Cerveceria	4CbekItliIPhUgzfGGtt_g	5.0	28	False
80	regional	Carlsbad	United States	912	33.1280776077661	-117.251077328407	Pizza Port - Bressi Ranch	7607071655	92009-1730	California	2730 Gateway Rd	[]	2018-08-24 00:00:55.788	http://www.pizzaport.com	59	Pizza Port Bressi Ranch	eWIgR7DeS7BnKbFtIp-m4w	3.5	541	False
81	regional	Carlsbad	United States	913	33.1598703	-117.347715240745	Pizza Port Carlsbad	7607207007	92008-2304	California	571 Carlsbad Village Dr	[]	2018-08-24 00:00:56.674	http://www.pizzaport.com	60	Pizza Port	cto_W4jjMqI6dU7G7JaKTA	3.5	1908	False
82	micro	Carpinteria	United States	714	34.3959039183673	-119.521007020408	Island Brewing Co	8057458272	93013-2001	California	5049 6th St	[]	2018-08-23 23:30:01.354	http://www.islandbrewingcompany.com	61	Island Brewing Company	4NozMd-0ufrS7sUZ95948w	4.5	231	False
83	brewpub	Carpinteria	United States	949	34.39834	-119.517858636364	Rincon Brewery	8056846044	93013-2046	California	5065 Carpinteria Ave	[]	2018-08-24 00:01:31.346	http://www.rinconbrewery.com	62	Rincon Brewery	wupvqueqdEZXQxv14sa9vw	4.0	345	False
84	planning	Carpinteria	United States	1089	34.3988838	-119.5184564	Teeccino Brewing Company	8059660999	93013-2905	California		[]	2018-08-24 00:03:40.844	http://www.teeccino.com	63	Night Lizard Brewing Company	WrU1ZYN4jlYcL5mvJrQsCQ	5.0	55	False
85	micro	Chico	United States	444	39.8308113831538	-121.846831607774	British Bulldog Brewery	5308928759	95973-8835	California	14540 Camaren Park Dr	[]	2018-08-23 23:26:15.256	http://www.britishbulldogbrewery.com	64	B Street Public House	t3YfdFH-aghdNQwyV4FJ1Q	4.0	237	False
86	regional	Chico	United States	1009	39.7257632	-121.8098801	Sierra Nevada Brewing Co	5308933520	95928-6722	California	1075 E 20th St	[]	2018-08-24 00:02:29.120	http://www.sierranevada.com	65	Sierra Nevada Taproom & Restaurant	rn868zjfRmWGHnGEWUbmjA	4.0	991	False
87	micro	Chula Vista	United States	479	32.641495	-117.080369	Chula Vista Brewery	6196168806	91910-2701	California	294 Third Ave	[]	2018-08-23 23:26:42.768	http://www.chulavistabrewery.com	66	Chula Vista Brewery	IKh9OtEzdi5ZzcrcYVKmJQ	4.0	75	False
88	micro	Chula Vista	United States	479	32.641495	-117.080369	Chula Vista Brewery	6196168806	91910-2701	California	294 Third Ave	[]	2018-08-23 23:26:42.768	http://www.chulavistabrewery.com	448	Chula Vista Brewery	IKh9OtEzdi5ZzcrcYVKmJQ	4.0	75	False
89	micro	Chula Vista	United States	479	32.641495	-117.080369	Chula Vista Brewery	6196168806	91910-2701	California	294 Third Ave	[]	2018-08-23 23:26:42.768	http://www.chulavistabrewery.com	66	Chula Vista Brewery	IKh9OtEzdi5ZzcrcYVKmJQ	4.0	75	False
90	micro	Chula Vista	United States	479	32.641495	-117.080369	Chula Vista Brewery	6196168806	91910-2701	California	294 Third Ave	[]	2018-08-23 23:26:42.768	http://www.chulavistabrewery.com	448	Chula Vista Brewery	IKh9OtEzdi5ZzcrcYVKmJQ	4.0	75	False
91	micro	Chula Vista	United States	858	32.6518762	-116.9613594	Novo Brazil Brewing Company	6198694274	91914-3501	California	901 Lane Ave # 100	[]	2018-08-24 00:00:10.784	http://www.novobrazilbrewing.com	67	Novo Brazil Brewing	mzqla2kg86jgzkB_UVYv-w	4.0	215	False
92	micro	Chula Vista	United States	858	32.6518762	-116.9613594	Novo Brazil Brewing Company	6198694274	91914-3501	California	901 Lane Ave # 100	[]	2018-08-24 00:00:10.784	http://www.novobrazilbrewing.com	456	Novo Brazil Brewing	mzqla2kg86jgzkB_UVYv-w	4.0	215	False
93	micro	Chula Vista	United States	858	32.6518762	-116.9613594	Novo Brazil Brewing Company	6198694274	91914-3501	California	901 Lane Ave # 100	[]	2018-08-24 00:00:10.784	http://www.novobrazilbrewing.com	67	Novo Brazil Brewing	mzqla2kg86jgzkB_UVYv-w	4.0	215	False
94	micro	Chula Vista	United States	858	32.6518762	-116.9613594	Novo Brazil Brewing Company	6198694274	91914-3501	California	901 Lane Ave # 100	[]	2018-08-24 00:00:10.784	http://www.novobrazilbrewing.com	456	Novo Brazil Brewing	mzqla2kg86jgzkB_UVYv-w	4.0	215	False
95	micro	Chula Vista	United States	1116	32.642827	-117.080107	Thr3e Punks Ale	6198579092	91910-2721	California	259 Third Ave	[]	2018-08-24 00:04:04.871	http://3punkales.com/red/index.html	68	Thr3e Punk Ales Brewing Co	SAlAwc1CFsJ3jSh_Jwm2Ww	4.5	66	False
96	micro	Chula Vista	United States	1116	32.642827	-117.080107	Thr3e Punks Ale	6198579092	91910-2721	California	259 Third Ave	[]	2018-08-24 00:04:04.871	http://3punkales.com/red/index.html	458	Thr3e Punk Ales Brewing Co	SAlAwc1CFsJ3jSh_Jwm2Ww	4.5	66	False
97	micro	Chula Vista	United States	1116	32.642827	-117.080107	Thr3e Punks Ale	6198579092	91910-2721	California	259 Third Ave	[]	2018-08-24 00:04:04.871	http://3punkales.com/red/index.html	68	Thr3e Punk Ales Brewing Co	SAlAwc1CFsJ3jSh_Jwm2Ww	4.5	66	False
